x,Change in NWC,,,,3,,Other Assumptions,,,,Metric,,Valuation,,,,Metric,,Valuation,,,,Metric
,WACC,,,,3,,Taxes,,,,18%,,Taxes,,,,15%,,Taxes,,,,14.3%
, TGR,,,,3,,D&A,,,,9%,,D&A,,,,10%,,D&A,,,,11%
,,,,,,,CapEx,,,,13%,,CapEx,,,,12%,,CapEx,,,,11%
,Other Assumptions,,,,,,Change in NWC,,,,2%,,Change in NWC,,,,0%,,Change in NWC,,,,-2%
,WACC,,,,8.1%,,WACC,,,,9.08%,,WACC,,,,8.58%,,WACC,,,,8.08%
,TGR,,,,3.0%,, TGR,,,,2.0%,, TGR,,,,2.50%,, TGR,,,,3.00%
,,,,,,,,,,,,x,x,x,,,,,,,,,
x,Income Statement,,,2017A,2018A,2019A,2020A,2021A,2022A,2023E,2024E,2025E,2026E,2027E,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,,,,,,,,,,,,,,,,,,
,Prod & Bus.,,," $33,177 "," $38,534 "," $43,737 "," $50,521 "," $58,678 "," $66,343 "," $73,267 "," $82,237 "," $91,674 "," $106,178 "," $123,372 ",,,,,,,,,
,% Growth,,,--,16%,14%,16%,16%,13%,10%,12%,11%,16%,16%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Intell. Cloud,,," $29,849 "," $35,630 "," $43,647 "," $54,338 "," $67,728 "," $81,631 "," $95,652 "," $112,898 "," $133,610 "," $162,216 "," $200,481 ",,,,,,,,,
,% Growth,,,--,19%,23%,24%,25%,21%,17%,18%,18%,21%,24%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Personal Comp,,," $40,539 "," $44,001 "," $46,919 "," $51,263 "," $56,897 "," $57,174 "," $58,134 "," $64,143 "," $69,043 "," $76,290 "," $84,005 ",,,,,,,,,
,% Growth,,,--,9%,7%,9%,11%,0%,2%,10%,8%,10%,10%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Total Revenue,,," $103,565 "," $118,165 "," $134,303 "," $156,122 "," $183,303 "," $205,148 "," $227,053 "," $259,278 "," $294,327 "," $344,684 "," $407,858 ",,,,,,,,,
,% Growth,,,--,14%,14%,16%,17%,12%,11%,14%,14%,17%,18%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,EBIT,,,,,,,,,,,,,,,,,,,,,,
,Prod & Bus.,,," $12,423 "," $14,585 "," $17,456 "," $21,586 "," $27,041 "," $31,957 "," $36,686 "," $41,709 "," $47,141 "," $53,538 "," $60,576 ",,,,,,,,,
,% of Sales,,,--,44%,45%,49%,54%,54%,55%,57%,57%,58%,57%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Intell. Cloud,,," $10,341 "," $12,732 "," $16,115 "," $22,282 "," $29,451 "," $35,324 "," $42,414 "," $50,996 "," $60,783 "," $73,651 "," $90,216 ",,,,,,,,,
,% of Sales,,,--,43%,45%,51%,54%,52%,52%,53%,54%,55%,56%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Personal Comp,,," $9,459 "," $11,724 "," $14,356 "," $17,711 "," $20,213 "," $18,694 "," $17,250 "," $18,577 "," $20,444 "," $22,727 "," $23,975 ",,,,,,,,,
,% of Sales,,,--,29%,33%,38%,39%,33%,30%,32%,32%,33%,31%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Total EBIT,,," $32,223 "," $39,041 "," $47,927 "," $61,579 "," $76,705 "," $85,975 "," $96,350 "," $111,282 "," $128,368 "," $149,916 "," $174,767 ",,,,,,,,,
x,% of Sales,,,31%,33%,36%,39%,42%,42%,42%,43%,44%,43%,43%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
x,TAXES,,,,,,,,,,,,,,,,,,,,,,
,Pre-Tax Income,,," $28,614 "," $39,927 "," $49,853 "," $60,726 "," $79,680 "," $82,588 ",,,,,,,,,,,,,,
,Taxes,,," $17,026 "," $6,386 "," $5,530 "," $9,416 "," $8,495 "," $15,139 ",,,,,,,,,,,,,,
,Tax Rate,,,60%,16%,11%,16%,11%,18%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
x,Cash Flow Items,,,2017A,2018A,2019A,2020A,2021A,2022A,,,,,,,,,,,,,,
,D&A,,," $9,831 "," $11,058 "," $12,024 "," $11,532 "," $12,202 "," $14,190 ",,,,,,,,,,,,,,
,% of Sales,,,9%,9%,9%,7%,7%,7%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Cap Ex,,," $8,696 "," $14,223 "," $13,546 "," $17,592 "," $23,216 "," $24,768 ",,,,,,,,,,,,,,
,% of Sales,,,8%,12%,10%,11%,13%,12%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Change in NWC,,," $14,404 "," $1,841 ", $(303), $(723), $388 ," $(3,929)",,,,,,,,,,,,,,
,% of Sales,,,14%,2%,0%,0%,0%,-2%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
x,Revenue Build,,,2017A,2018A,2019A,2020A,2021A,2022A,2023E,2024E,2025E,2026E,2027E,2028E,,,,,,,,
,Prod & Bus.,,," $33,177 "," $38,534 "," $43,737 "," $50,521 "," $58,678 "," $66,343 "," $73,267 "," $83,134 "," $94,129 "," $106,350 "," $119,901 "," $134,889 ",,,,,,,,
,% Growth,,,--,16%,14%,16%,16%,13%,10%,13%,13%,13%,13%,13%,,,,,,,,
,Conservative ,,,,,,,,,10%,11%,11%,10%,10%,9%,,,,,,,,
,Base,,,,,,,,,10%,12%,12%,12%,12%,12%,,,,,,,,
,Optimistic,,,,,,,,,10%,13%,13%,13%,13%,13%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Intell. Cloud,,," $29,849 "," $35,630 "," $43,647 "," $54,338 "," $67,728 "," $81,631 "," $95,652 "," $114,623 "," $137,117 "," $163,694 "," $195,027 "," $232,082 ",,,,,,,,
,% Growth,,,--,19%,23%,24%,25%,21%,17%,20%,20%,19%,19%,19%,,,,,,,,
,Conservative ,,,,,,,,,17%,16%,16%,15%,15%,14%,,,,,,,,
,Base,,,,,,,,,17%,18%,18%,18%,17%,17%,,,,,,,,
,Optimistic,,,,,,,,,17%,20%,20%,19%,19%,19%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Personal Comp,,," $40,539 "," $44,001 "," $46,919 "," $51,263 "," $56,897 "," $57,174 "," $58,134 "," $64,744 "," $71,560 "," $78,490 "," $85,431 "," $92,266 ",,,,,,,,
,% Growth,,,--,9%,7%,9%,11%,0%,2%,11%,11%,10%,9%,8%,,,,,,,,
,Conservative ,,,,,,,,,2%,9%,8%,7%,5%,4%,,,,,,,,
,Base,,,,,,,,,2%,10%,9%,8%,7%,6%,,,,,,,,
,Optimistic,,,,,,,,,2%,11%,11%,10%,9%,8%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Total Revenue,,," $103,565 "," $118,165 "," $134,303 "," $156,122 "," $183,303 "," $205,148 "," $227,053 "," $262,501 "," $302,806 "," $348,535 "," $400,359 "," $459,236 ",,,,,,,,
x,% Growth,,,--,14%,14%,16%,17%,12%,11%,16%,15%,15%,15%,15%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
x,EBIT Build,,,2017A,2018A,2019A,2020A,2021A,2022A,2023E,2024E,2025E,2026E,2027E,2028E,,,,,,,,
,Prod & Bus.,,," $12,423 "," $14,585 "," $17,456 "," $21,586 "," $27,041 "," $31,957 "," $40,515 "," $47,326 "," $53,585 "," $60,542 "," $68,257 "," $76,789 ",,,,,,,,
,% of Sales,,,37%,38%,40%,43%,46%,48%,55%,57%,57%,57%,57%,57%,,,,,,,,
,Conservative ,,,,,,,,,55%,57%,57%,57%,57%,57%,,,,,,,,
,Base,,,,,,,,,55%,57%,57%,57%,57%,57%,,,,,,,,
,Optimistic,,,,,,,,,55%,57%,57%,57%,57%,57%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Intell. Cloud,,," $10,341 "," $12,732 "," $16,115 "," $22,282 "," $29,451 "," $35,324 "," $49,699 "," $62,943 "," $75,296 "," $89,890 "," $107,096 "," $127,445 ",,,,,,,,
,% of Sales,,,35%,36%,37%,41%,43%,43%,52%,55%,55%,55%,55%,55%,,,,,,,,
,Conservative ,,,,,,,,,52%,52%,52%,52%,52%,52%,,,,,,,,
,Base,,,,,,,,,52%,53%,53%,53%,53%,53%,,,,,,,,
,Optimistic,,,,,,,,,52%,55%,55%,55%,55%,55%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Personal Comp,,," $9,459 "," $11,724 "," $14,356 "," $17,711 "," $20,213 "," $18,694 "," $17,540 "," $21,310 "," $23,553 "," $25,834 "," $28,119 "," $30,368 ",,,,,,,,
,% of Sales,,,23%,27%,31%,35%,36%,33%,30%,33%,33%,33%,33%,33%,,,,,,,,
,Conservative ,,,,,,,,,30%,31%,31%,31%,31%,31%,,,,,,,,
,Base,,,,,,,,,30%,32%,32%,32%,32%,32%,,,,,,,,
,Optimistic,,,,,,,,,30%,33%,33%,33%,33%,33%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Total EBIT,,," $32,223 "," $39,041 "," $47,927 "," $61,579 "," $76,705 "," $85,975 "," $107,753 "," $131,579 "," $152,434 "," $176,267 "," $203,472 "," $234,602 ",,,,,,,,
,% Growth,,,31%,33%,36%,39%,42%,42%,47%,50%,50%,51%,51%,51%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
x,DCF,,,2017A,2018A,2019A,2020A,2021A,2022A,2023E,2024E,2025E,2026E,2027E,2028E,,,,,,,,
,Revenue,,," $103,565 "," $118,165 "," $134,303 "," $156,122 "," $183,303 "," $205,148 "," $227,053 "," $262,501 "," $302,806 "," $348,535 "," $400,359 "," $459,236 ",,,,,,,,
,% Growth,,,--,14%,14%,16%,17%,12%,11%,16%,15%,15%,15%,15%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,EBIT,,," $32,223 "," $39,041 "," $47,927 "," $61,579 "," $76,705 "," $85,975 "," $107,753 "," $131,579 "," $152,434 "," $176,267 "," $203,472 "," $234,602 ",,,,,,,,
,% of Sales,,,31%,33%,36%,39%,42%,42%,47%,50%,50%,51%,51%,51%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,," $17,026 "," $6,386 "," $5,530 "," $9,416 "," $8,495 "," $15,139 "," $15,427 "," $18,838 "," $21,824 "," $25,236 "," $29,131 "," $33,588 ",,,,,,,,
,Tax Rate,,,60%,16%,11%,16%,11%,18%,14%,14%,14%,14%,14%,14%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,EBIAT,,,,,,,,," $92,327 "," $112,741 "," $130,610 "," $151,031 "," $174,341 "," $201,014 ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,D&A,,," $9,831 "," $11,058 "," $12,024 "," $11,532 "," $12,202 "," $14,190 "," $17,250 "," $21,730 "," $27,127 "," $33,595 "," $41,315 "," $50,516 ",,,,,,,,
,% of Sales,,,9%,9%,9%,7%,7%,7%,8%,8%,9%,10%,10%,11%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Cap Ex,,," $8,696 "," $14,223 "," $13,546 "," $17,592 "," $23,216 "," $24,768 "," $24,976 "," $28,875 "," $33,309 "," $38,339 "," $44,040 "," $50,516 ",,,,,,,,
,% of Sales,,,8%,12%,10%,11%,13%,12%,11%,11%,11%,11%,11%,11%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Change in NWC,,," $14,404 "," $1,841 ", $(303), $(723), $388 ," $(3,929)"," $(4,541)"," $(5,250)"," $(6,056)"," $(6,971)"," $(8,007)"," $(9,185)",,,,,,,,
,% of Sales,,,14%,2%,0%,0%,0%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Unlevered Free Cash Flow,,,,,,,,," $4,705 "," $110,846 "," $130,485 "," $153,258 "," $179,623 "," $210,199 ",,,,,,,,
,PV of UFCF,,,,,,,,," $4,695 "," $106,188 "," $115,662 "," $125,698 "," $136,314 "," $147,598 ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Period,,,,,,,,,1,2,3,4,5,6,,,,,,,,
,Discount Period,,,,,,,,,0.03,0.55,1.55,2.55,3.55,4.55,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Terminal Value,,,,,,,,,,,,,," $4,265,832 ",,,,,,,,
,PV of Terminal Value,,,,,,,,,,,,,," $2,676,977 ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Enterprise Value,,,,,,,,,,,,,," $3,313,131 ",,,,,,,,
,(+) Cash,,,,,,,,,,,,,," $143,951 ",,,,,,,,
,(-) Debt,,,,,,,,,,,,,," $25,808 ",,,,,,,,
,Equity Value,,,,,,,,,,,,,," $3,431,274 ",,,,,,,,
,Diluted Shares,,,,,,,,,,,,,,7528,,,,,,,,
,Implied Stock Price,,,,,,,,,,,,,, $455.80 ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
